Market framework for local energy trading: a review of potential designs and market clearing approaches	dm-5AI0UaO8J	https://digital-library.theiet.org/content/journals/10.1049/iet-gtd.2018.5309	M Khorasany , Y Mishra , G Ledwich	IET Generation	2018	IET	Massive deployment of distributed energy resources (DERs) along with innovations in information and communication technologies have changed the power system from a hierarchical structure to a more deregulated model by introducing new generations at lower ...	17	12	2020-06-06	local+energy+market
Microgrid Transactive Energy : Review, Architectures, Distributed Ledger Technologies, and Market Analysis	QxeSYO02tSUJ	https://ieeexplore.ieee.org/abstract/document/8966274/	MF Zia , M Benbouzid , E Elbouchikhi , SM Muyeen ...	Ieee ...	2020	ieeexplore.ieee.org	... The local energy market concept is presented and critically analyzed for energy trade within a transactive energy system ... Distributed ledger technology (DLT) and local energy market (LEM) are integral parts in decentralized TES realization ...	4	10	2020-06-06	local+energy+market
Crypto-trading: Blockchain-oriented energy market	SZFJappoHIcJ	https://ieeexplore.ieee.org/abstract/document/8240547/	K Mannaro , A Pinna , M Marchesi	2017 AEIT International ...	2017	ieeexplore.ieee.org	... In recent years, there has been a growing interest to study the scenarios of the creation of a decentralized and local Energy Market (LEM) by using the blockchain technology to enable development of intelligent energy networks and the advancement of measurement and ...	46	13	2020-06-06	local+energy+market
An agent-based market platform for smart grids	9TJYoLVEgNEJ	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.445.6004&amp;rep=rep1&amp;type=pdf	S Lamparter , S Becher, JG Fischer	... of the 9th international conference on ...	2010	Citeseer	... As proof of concept implementation the market platform D&#39;ACCORD is presented that supports various market structures ranging from a single local energy exchange to a hierarchical energy market structure (eg as proposed in [10]) ...	80	15	2020-06-06	local+energy+market
Microgrid&#39;s energy management systems: A survey	znHa7iqoBrcJ	https://ieeexplore.ieee.org/abstract/document/7216662/	ID Serna-Suárez, G Ordóñez-Plata ...	... Energy Market (EEM ...	2015	ieeexplore.ieee.org	... III. FORECAST Energy Management Systems (EMSs) analysis must include forecasting process because better estimation of ... is often applied to predict weather conditions, load levels and market prices ... however, as a consequence of the high variability of some local sources (eg ...	24	14	2020-06-06	local+energy+market
Management of storage systems in local electricity market to avoid renewable power curtailment in distribution network	2JEmKqtyYaoJ	https://ieeexplore.ieee.org/abstract/document/6966536/	D Menniti , A Pinnarelli, N Sorrentino ...	2014 Australasian ...	2014	ieeexplore.ieee.org	... main countermeasure. In the paper, a storage management strategy based on a local energy market is proposed, in order to maximize the utility of an users community in which local market takes place. The numerical results ...	18	11	2020-06-06	local+energy+market
Fostering consumers&#39; energy market through smart contracts	iDYKEUZWObYJ	https://ieeexplore.ieee.org/abstract/document/8015343/	I Kounelis , G Steri , R Giuliani ...	... in Energy and ...	2017	ieeexplore.ieee.org	... the inflow of energy . Consumers can purchase renewable energy credits from 3rd party retailers or buy tokens/credit from their neighbours directly enabling a local microgrid energy market . Whenever a house generates energy ...	36	16	2020-06-06	local+energy+market
Transmission planning-from a market approach to a centralized one-the Chilean experience	XEPddttlvooJ	https://ieeexplore.ieee.org/abstract/document/5275552/	H Rudnick , JC Araneda...	... IEEE Power &amp; Energy ...	2009	ieeexplore.ieee.org	Abstract- Electricity transmission planning does not have a common solution worldwide, with most countries trusting on alternatives adapted to the local energy markets&#39; regulatory regime. The fast-growing conditions of the Chilean energy market , driven by private agents, meant ...	12	17	2020-06-06	local+energy+market
Local market framework for exploiting flexibility from the end users	YbD8zwKAOCEJ	https://ieeexplore.ieee.org/abstract/document/7521304/	SS Torbaghan , N Blaauwbroek...	... Energy Market (EEM ...	2016	ieeexplore.ieee.org	This paper introduces a decentralized implicit interaction framework for trading flexibility available from proactive end users (prosumers) in an economically-efficient way. The proposed framework consists of two mechanisms: ahead planning via markets and real-time ...	56	18	2020-06-06	local+energy+market
Arbitraging intraday wholesale energy market prices with aggregations of thermostatic loads	zChxYLn1vVAJ	https://ieeexplore.ieee.org/abstract/document/6866265/	JL Mathieu , M Kamgarpour , J Lygeros ...	... on Power Systems	2014	ieeexplore.ieee.org	... wholesale electricity market prices via non-disruptive load control. We present two arbitrage approaches: 1) a benchmark that gives us an optimal policy but requires local computation or real-time communication and 2) an alternative based on a thermal energy storage model ...	157	19	2020-06-06	local+energy+market
Green energy market development in Germany: effective public policy and emerging customer demand	P3sMYHA1lzEJ	https://www.sciencedirect.com/science/article/pii/S030142150400237X	R Wüstenhagen , M Bilharz	Energy policy	2006	Elsevier	... As it became clear that the feed-in system was effective in getting the renewable energy market started in the 1990s, increasing growth of wind power in ... Under this system, the local grid operators can transfer the cost of their EEG payments to the next higher grid level, and at the ...	451	20	2020-06-06	local+energy+market
Investigation of Greek wind energy market time-evolution	aJ7KrfB-xzYJ	https://www.sciencedirect.com/science/article/pii/S0301421503000132	JK Kaldellis	Energy Policy	2004	Elsevier	... This frame is accordingly used to analyse the local wind energy market situation during the last 15 years. According ... This model is accordingly used to analyse the local wind energy market situation during the last 15 years. On ...	38	21	2020-06-06	local+energy+market
Hybrid energy market and currency system for total energy management	eeVgsmpEOBoJ	https://patents.google.com/patent/US20120259760A1/en	S Sgouridis , SW Kennedy	US Patent App. 13/394	2012	Google Patents	... If the CEA receives no surplus ergos then the local generation is only just sufficient to meet the city demand ... r + ef r , n ( 7 ). where q r are the new ergos delivered to subscriber r, EC is the expected consumption of visitors, export energy and forward market matured obligations ...	82	22	2020-06-06	local+energy+market
Optimal participation of a microgrid to the energy market with an intelligent EMS	tn6vjUccmbcJ	https://ieeexplore.ieee.org/abstract/document/1627280/	G Celli , F Pilo , G Pisano...	2005 International power ...	2005	ieeexplore.ieee.org	... According with this policy, when the energy prices in the market are high, the microgrid satisfies the total demand of the loads by exploiting as much as possible its local production and sells energy to the network, in order to maximize its profit ...	135	23	2020-06-06	local+energy+market
Analysis of the opportunities and challenges for renewable energy market in the Western Balkan countries	hAvsNmACTIYJ	https://www.sciencedirect.com/science/article/pii/S1364032111001481	D Lalic , K Popovski, V Gecevska , SP Vasilevska ...	... and Sustainable Energy ...	2011	Elsevier	... the promotion of electricity from renewable energy sources in the internal electricity market and the ... production of heat (biomass burning, and â€œcollectingâ€� solar radiation) and electric energy (the construction of ... All this in order to satisfy local consumer needs and to supply surplus ...	49	24	2020-06-06	local+energy+market
NRGcoin: Virtual currency for trading of renewable energy in smart grids	mI4_VTMr3UEJ	https://ieeexplore.ieee.org/abstract/document/6861213/	M Mihaylov , S Jurado , N Avellana...	... energy market ...	2014	ieeexplore.ieee.org	... substations pay prosumers depend on local supply and demand, different prosumers may earn different number of NRGcoins for the same amount of injected energy at different locations of the smart grid. Again, these rates are independent from the current market value of the ...	137	25	2020-06-06	local+energy+market
... brand management in the energy sector-A research proposal and first empirical hints Part 2: Concept and results of an empirical study in the German energy market	hx6R_2TWogsJ	https://link.springer.com/article/10.1057/palgrave.bm.2540216	KP Wiedmann	Journal of Brand Management	2005	Springer	... Local branding in the energy market for commercial enterprise customers These results give reason to believe that an effective corporate branding strategy should not be based on those factors which local utility companies very often point out in their com- munications strategies ...	29	29	2020-06-06	local+energy+market
Stochastic programming and market equilibrium analysis of microgrids energy management systems	65R-Rpgc8U0J	https://www.sciencedirect.com/science/article/pii/S0360544216309859	MC Hu , SY Lu, YH Chen	Energy	2016	Elsevier	... better local energy supply, and reduces transmission loss and greenhouse gas emission. Because the uncertainty in energy demand affects the energy demand and supply system, the aim of this research is to develop a stochastic optimization and its market equilibrium for ...	35	28	2020-06-06	local+energy+market
The energy market in Norway and Sweden: Introduction	5lO96qvKV9IJ	https://ieeexplore.ieee.org/abstract/document/655587/	RD Christie, I Wangensteen	IEEE Power Engineering Review	1998	ieeexplore.ieee.org	... There are 230 distribution companies owned by local governments in Norway and 270 in Sweden, some of which also own generation ... History of Deregulation: Deregulation in Norway was created by the Energy Act of June 1990. Market operation started in May, 1992 ...	36	27	2020-06-06	local+energy+market
Tangible and fungible energy : Hybrid energy market and currency system for total energy management. A Masdar City case study	CTKM0SPIsooJ	https://www.sciencedirect.com/science/article/pii/S0301421509008994	S Sgouridis , S Kennedy	Energy Policy	2010	Elsevier	... If the CEA receives no surplus ergos then the local generation is only just sufficient to meet the city demand ... A r + e f r , n where q r are the new ergos delivered to subscriber r, EC is the expected consumption of visitors, export energy , and forward market matured obligations ...	29	30	2020-06-06	local+energy+market
A challenging approach for renewable energy market development	DnB_8RX8SwIJ	https://www.sciencedirect.com/science/article/pii/S1364032110003345	CH Liao, HH Ou, SL Lo, PT Chiueh, YH Yu	... and Sustainable Energy ...	2011	Elsevier	... to impose external costs, â€¢ Inefficient producers which cause more resource wasted can also enter the energy market â€¢ Failure to impose external costs, â€¢ Only focus on â€œmajorâ€� players: high technical, and financial are barriers for small-sized projects â€¢ Local energy producers are ...	47	26	2020-06-06	local+energy+market
Market penetration analysis of hydrogen vehicles in Norwegian passenger transport towards 2050	BK-NBW19hS0J	https://www.sciencedirect.com/science/article/pii/S0360319910008554	E Rosenberg, A Fidje, KA Espegren , C Stiller...	... of Hydrogen Energy	2010	Elsevier	... However, the deployment will require continued technological progress, cost reductions from volume production, and policies to support the introduction of HFCVs into the market . The analysis shows the importance of the availability of local energy resources for hydrogen ...	55	31	2020-06-06	local+energy+market
Solar water heating potential in South Africa in dynamic energy market conditions	T9TuqIXVPgEJ	https://www.sciencedirect.com/science/article/pii/S1364032112000779	G Donev, WG van Sark , K Blok , O Dintchev	... and Sustainable Energy ...	2012	Elsevier	... The market only recovered in the recent years in line with the changed conditions in the local energy market and the emerging electricity crisis in the country. A more recent study of the South African solar water heating market was conducted in 2009 for ESKOM Distribution [18] ...	33	32	2020-06-06	local+energy+market
Integrative energy market as system integrator of decentralized generators	dBs8dKHHEaYJ	https://ieeexplore.ieee.org/abstract/document/6254718/	R Hollinger , T Erge	... on the European Energy Market	2012	ieeexplore.ieee.org	... to be significant. Especially there was some â€œcounteractingâ€� between the overall local energy management system and the eTelligence gateway trying to adjust CHP operation according to the market&#39;s needs. Because of the ...	11	33	2020-06-06	local+energy+market
Shale gas: Analysis of its role in the global energy market	GJi3kB7gY8UJ	https://www.sciencedirect.com/science/article/pii/S1364032114003189	M Melikoglu	Renewable and Sustainable Energy Reviews	2014	Elsevier	... in Southern China the following problems lay in front of international and local investors: the ... In 2013, the US Secretary of Energy , Ernest Moniz, stated that the US have a ... shale gas, have the most mature natural gas infrastructure in terms of pipelines, market structures, trading ...	131	34	2020-06-06	local+energy+market
Local labor market impacts of energy boom-bust-boom in Western Canada	ptXglrWXzREJ	https://www.sciencedirect.com/science/article/pii/S0094119011000337	J Marchand	Journal of Urban Economics	2012	Elsevier	The impacts of energy price boom and bust are analyzed through the differential growth in employment and earnings between local labor markets with and without energy resources in Western Canada. The estimated differentials attributed to the boom-induced labor demand ...	197	36	2020-06-06	local+energy+market
The renewable energy market in Brazil: Current status and potential	u8aQuu_GHHgJ	https://www.sciencedirect.com/science/article/pii/S1364032112002079	MG Pereira , CF Camacho, MAV Freitas...	... and Sustainable Energy ...	2012	Elsevier	... Volume 16, Issue 6, August 2012, Pages 3786-3802. Renewable and Sustainable Energy Reviews. The renewable energy market in Brazil: Current status and potential ... Keywords. Renewable energy . Energy market . Energy planning. Brazil. 1. Introduction ...	180	37	2020-06-06	local+energy+market
Real-time pricing for aggregates energy resources in the Italian energy market	yLH9BVkOgJYJ	https://www.sciencedirect.com/science/article/pii/S0360544215005939	S Favuzza , G Galioto, MG Ippolito, F Massaro ...	Energy	2015	Elsevier	... set of end-users, with similar consumption habits, characterized by the same maximum contracted energy and the same typology of local renewable energy production system. The energy district manager is the aggregator and it can operate on the energy market ...	18	38	2020-06-06	local+energy+market
Physical characterization of commercial woodchips on the Italian energy market	GShH2gJPuOIJ	https://www.sciencedirect.com/science/article/pii/S001623611100069X	R Spinelli , C Nati, L Sozzi, N Magagnotti , G Picchi	Fuel	2011	Elsevier	... failure of the ARBRE project, also related to technical problems with the available local fuels [39 ... to fuel handling efficiency [17], to its drying and reaction rate [30], to the energy required for ... This sample was meant to represent a cross-section of the Italian fuel chip market , and the ...	72	35	2020-06-06	local+energy+market
Solar energy market developments in India	BGHn0I_yK-QJ	https://www.sciencedirect.com/science/article/pii/S1364032116300600	SK Kar, A Sharma , B Roy	Renewable and sustainable energy reviews	2016	Elsevier	... output efficiencies and ability to be utilized in a variety of locations [3]. Renewable energy like solar is particularly well suited to situations where either household systems or local grids can serve ... The pace of solar energy market development in India found to be slow in the past ...	48	39	2020-06-06	local+energy+market
Optimal design of CHP systems for housing complexes involving weather and electric market variations	CiK-YZQtcKYJ	https://www.sciencedirect.com/science/article/pii/S1359431115007711	LF Fuentes-Cortés , A Ávila-Hernández...	Applied Thermal ...	2015	Elsevier	... Variations in the local energy market and weather conditions are considered. • The ... Previous analysis, as proposed by Åberg et al. [25] and Lund and Andersen [26], have explored variations in prices of local energy market . The ...	26	40	2020-06-06	local+energy+market
Renewable energy policies and market developments	G3k-LmH9kGUJ	https://netenergy.ch/fileadmin/webmaster/dokumente/Archiv_Studien/Renewable_Energy_Policies_and_Market_Developments.pdf	AL Van Dijk, LWM Beurskens, MG Boots...	ECN	2003	netenergy.ch	... 2.1.5 Impacts of shifting priorities on the renewable energy market The environmental benefits ... For a secure continuation of support of renewable energy renewable energy targets should ... From a national perspective, local development through employment creation has been a ...	52	41	2020-06-06	local+energy+market
Transmission dispatch and congestion management in the emerging energy market structures	3JbAIVk01qoJ	https://ieeexplore.ieee.org/abstract/document/736292/	D Shirmohammadi , B Wollenberg ...	... on Power Systems	1998	ieeexplore.ieee.org	... Local controls - Reactive sources maintaining local voltage levels - Phase-shifters maintaining scheduled MW flows - HVDC links maintaining scheduled MW flows - Area interchange controls ... â€œTechnical Issues, Methods and Tools in Emerging Energy Market Structuresâ€�, EPRI ...	185	43	2020-06-06	local+energy+market
Optimal bidding strategy for a DER aggregator in the day-ahead market in the presence of demand flexibility	3-mEHuKmQK0J	https://ieeexplore.ieee.org/abstract/document/8345707/	M Di Somma , G Graditi, P Siano	IEEE Transactions on ...	2018	ieeexplore.ieee.org	... This player behaves as an energy aggregator, which manages energy and financial interactions between the market and DER organized in local energy systems (LES), which are in charge to satisfy the multienergy demand of a set of building clusters with flexible demand ...	46	42	2020-06-06	local+energy+market
Regulating effect of the energy market -Theoretical and empirical analysis based on a novel energy pricesâ€“ energy supplyâ€“economic growth dynamic system	VKt45aFgu1IJ	https://www.sciencedirect.com/science/article/pii/S0306261915007461	M Wang , L Tian	Applied Energy	2015	Elsevier	... Regulating effect of the energy market -Theoretical and empirical analysis based on a novel energy pricesâ€“ energy supplyâ€“economic growth dynamic system ... Abstract. It is known that the invisible hand â€“ energy market can reflect the energy price ...	39	46	2020-06-06	local+energy+market
Emissions reduction and economic implications of renewable energy market penetration of power generation for residential consumption in the MENA region	3Jdz5Q8yJ70J	https://www.sciencedirect.com/science/article/pii/S0301421512008737	M El Fadel , G Rachid , R El-Samra , GB Boutros...	Energy Policy	2013	Elsevier	... Elsevier. Energy Policy. Volume 52, January 2013, Pages 618-627. Energy Policy. Emissions reduction and economic implications of renewable energy market penetration of power generation for residential consumption in the MENA region ...	36	44	2020-06-06	local+energy+market
Energy policy and energy market performance: The Argentinean case	zNigaLrRjgAJ	https://www.sciencedirect.com/science/article/pii/S0301421511003053	M Recalde	Energy Policy	2011	Elsevier	... associated to the local availability of NG at low prices during the nineties and the strategies of private producers (Pistonesi, 2001). From Fig. 2 it is clear that Renewable Energy Technologies (RETs) 3 have not yet succeeded to enter in the Argentinean Wholesale Market ...	24	47	2020-06-06	local+energy+market
A closed-loop energy price controlling method for real-time energy balancing in a smart grid energy market	SaTeAMzKqVoJ	https://www.sciencedirect.com/science/article/pii/S0360544213005744	BB Alagoz , A Kaygusuz , M Akcin, S Alagoz	Energy	2013	Elsevier	... renewable energy sources decrease consumers&#39; energy demand from the grid [2], [3], [4], [5], [6]. In the near future, local power grids will ... This diversity in energy market participants will make future smart grids more volatile in terms of energy supply due to fluctuations and ...	31	45	2020-06-06	local+energy+market
Local electricity market design for the coordination of distributed energy resources at district level	EBdFshFJHJoJ	https://ieeexplore.ieee.org/abstract/document/7028888/	M Ampatzis, PH Nguyen , W Kling	IEEE PES innovative smart ...	2014	ieeexplore.ieee.org	The increasing penetration of distributed energy resources at the distribution grid level creates concerns about their successful integration in the existing electric grid, designed for centralized generation by large power plants. Failure to the proper integration of distributed ...	51	48	2020-06-06	local+energy+market
Stochastic optimization of energy hub operation with consideration of thermal energy market and demand response	nEk-_1joRTkJ	https://www.sciencedirect.com/science/article/pii/S0196890417303941	MJ Vahid-Pakdel , S Nojavan ...	energy Conversion and ...	2017	Elsevier	... Stochastic optimization of energy hub operation with consideration of thermal energy market and demand response ... Simulation results shows that hub&#39;s operation cost reduces up to 4.8% by enabling the option of using thermal energy market for meeting heat demand ...	121	49	2020-06-06	local+energy+market
A tool for creating energy market scenarios for evaluation of investments in energy intensive industry	B7iFrHyz-BMJ	https://www.sciencedirect.com/science/article/pii/S0360544208002065	E Axelsson, S Harvey , T Berntsson	Energy	2009	Elsevier	... For regions with a similar energy market , user input can be adjusted to local conditions, eg concerning policy instruments. If the energy market differs significantly from the Swedish/European, changes in parameters for the marginal technologies etc. might be needed ...	80	50	2020-06-06	local+energy+market
Forecasting electricity prices for a day-ahead pool-based electric energy market	MMNTtRYM5HUJ	https://www.sciencedirect.com/science/article/pii/S0169207004001311	AJ Conejo , J Contreras , R Espínola...	International journal of ...	2005	Elsevier	... of hydro energy stored in reservoirs is a variable of interest for electric energy markets with ... in the Englandâ€“Wales pool (Ramsay &amp; Wang, 1998), the Australian market (Szkuta, Sanabria ... To avoid local minima, the optimization is initialized from different initial solutions and rerun ...	574	51	2020-06-06	local+energy+market
Liberating the power of energy services and ESCOs in a liberalised energy market	XMKQzWugbL8J	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.539.6886&amp;rep=rep1&amp;type=pdf	P Bertoldi , M Hinnells, S Rezessy	Proceeding of the International Energy ...	2006	Citeseer	... or templates would be useful, â€¢ Surestart could be a good model for a national framework for development of local services 2. â€¢ The consumer appetite for energy services is low, and the deals that suppliers offer largely do not meet consumer wishes. In this market condition it ...	32	52	2020-06-06	local+energy+market
Short-term Self-Scheduling of Virtual Energy Hub Plant within Thermal Energy Market	AmjW8JvlEDQJ	https://ieeexplore.ieee.org/abstract/document/9032308/	M Jadidbonab , B Mohammadi-Ivatloo ...	IEEE Transactions ...	2020	ieeexplore.ieee.org	... By the advent of the local thermal energy market in many countries, energy hubs&#39; scheduling becomes more prominent. In ... strategy. For effective participation of the renewable- based VEH plant in the local energy market , compressed ...	1	54	2020-06-06	local+energy+market
Dynamic filter weights neural network model integrated with differential evolution for day-ahead price forecasting in energy market	Ve_3WmiIGrMJ	https://www.sciencedirect.com/science/article/pii/S0957417411003629	S Chakravarty , PK Dash	Expert Systems with Applications	2011	Elsevier	... Forecasting accuracy is within 3%. Previous article in issue; Next article in issue. Keywords. Dynamic filter weights neuron. Energy market . Sliding mode control. Local linear wavelet neural network. Differential evolution. 1. Introduction ...	16	55	2020-06-06	local+energy+market
Transactive energy market in distribution systems: A case study of energy trading between transactive nodes	7fQ4GvwEq8sJ	https://ieeexplore.ieee.org/abstract/document/7747895/	SM Sajjadi , P Mandal , TLB Tseng...	2016 North American ...	2016	ieeexplore.ieee.org	... In the centralized planning of the distribution systems, local decisions are usually made centrally [1]. However, in decentralized planning of the distribution systems, all ... There are a lot of research work going on planning of the distribution systems in centralized energy market ...	26	53	2020-06-06	local+energy+market
Combined heat and power in a liberalised energy market	uank9BTfUJUJ	https://www.sciencedirect.com/science/article/pii/S0196890407000969	M De Paepe , D Mertens	Energy Conversion and Management	2007	Elsevier	... Not only pure financial or market related parameters influence the economics of cogeneration ... On the other hand, it is not certain whether this extra energy can be recuperated as ... depend on both the characteristics of the heat recovery steam generator and the local heat demand ...	46	56	2020-06-06	local+energy+market
Modeling energy market dynamics using discrete event system simulation	wzHFrrFndL4J	https://www.sciencedirect.com/science/article/pii/S0360544209002540	G Gutiérrez-Alcaraz , GB Sheblé	Energy	2009	Elsevier	... global or local energy planning in an effort to better understand the interplay between the macro-economy and energy use. Generally, these models focus on a long-term planning horizon and their underlying methodology is based on macro-economic approaches and market ...	17	57	2020-06-06	local+energy+market
Near real time load shifting control for residential electricity prosumers under designed and market indexed pricing models	RA1fdryUxX4J	https://www.sciencedirect.com/science/article/pii/S0306261914003857	A Di Giorgio , F Liberati	Applied Energy	2014	Elsevier	... paper presents an event driven model predictive control approach for a local energy management system ... the needs of maximizing self-consumption and minimizing the cost of energy consumption, in a contractual scenario characterized by designed or market indexed pricing ...	76	63	2020-06-06	local+energy+market
Demand response: Social welfare maximization in an unbundled energy market case study for the low-voltage networks of a distribution network operator in the ...	I1z8EbvXHc8J	https://ieeexplore.ieee.org/abstract/document/7565746/	M Nijhuis , M Babar , M Gibescu ...	IEEE Transactions on ...	2016	ieeexplore.ieee.org	... network loading, while the PowerMatching City [6] pilot is evaluating a local market -based DR ... however, highlight the conflicting interests between actors in the unbundled elec- tricity market ... on network constraints could shift demand to times of higher energy prices, however ...	24	62	2020-06-06	local+energy+market
Distributed robust energy management of a multimicrogrid system in the real-time energy market	YkE80JwuUycJ	https://ieeexplore.ieee.org/abstract/document/8141420/	Y Liu , Y Li, HB Gooi , Y Jian, H Xin ...	... Sustainable Energy	2017	ieeexplore.ieee.org	... It aims to optimize the total operational cost of the MGs through energy trading with neighboring MGs and the main grid in the real-time energy market ... Index Terms-Distributed optimal scheduling, robust optimiza- tion, multiple microgrids, real-time energy market , battery aging ...	48	61	2020-06-06	local+energy+market
An intelligent auction scheme for smart grid market using a hybrid immune algorithm	KNMYR2Vm1xwJ	https://ieeexplore.ieee.org/abstract/document/5675685/	B Ramachandran, SK Srivastava ...	IEEE Transactions ...	2010	ieeexplore.ieee.org	... In order to make full use of operations facilitated by a group of DGs, the controller of each unit participating in the energy market should have intelligence in order to make ... Smart Grids refer to a system that enables small producers to generate and sell electricity at the local level ...	186	58	2020-06-06	local+energy+market
Unconventional gas: potential energy market impacts in the European Union	vk_AdnG7dGEJ	http://sro.sussex.ac.uk/id/eprint/53953/1/LDNA25305ENN_002.pdf	S Sorrell , F Gracceva , A Eriksson, P Zeniewski ...	2012	2012	sro.sussex.ac.uk	... Unconventional Gas: Potential Energy Market Impacts in the European Union Page 2 ... Printed in 2012 Page 3. UNCONVENTIONAL GAS: POTENTIAL ENERGY MARKET IMPACTS IN THE EUROPEAN UNION A REPORT BY THE ENERGY SECURITY UNIT OF THE ...	69	59	2020-06-06	local+energy+market
Competition in the market for space heating. District heating as the infrastructure for competition among fuels and technologies	ZzrpDlxDiqgJ	https://www.sciencedirect.com/science/article/pii/S0301421502000666	PE Grohnheit, BOG Mortensen	Energy policy	2003	Elsevier	... Thus, limiting the consumers&#39; choice on the local level-eg by regulation in the form of zoning that requires the use of particular heating systems, in particular district heating-will add to competition on the energy market as a whole ...	107	60	2020-06-06	local+energy+market
The economics of energy market transformation programs	V5n2qyOz7DcJ	https://www.iaee.org/en/Publications/ejarticle.aspx?id=1323	R Duke, DM Kammen	The Energy Journal	1999	iaee.org	Page 1. The Economics of Energy Market Transformation Programs Richard Duke* and Daniel M. Kammen ... on a global basis, fossil fuel subsidization is the rule. Gray (1995). Page 3. Economics of Energy Market Transformation / 17 ...	138	64	2020-06-06	local+energy+market
